Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,Match Date
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),Gambit Esports vs Crazy Raccoon,Gambit Esports,Crazy Raccoon,2,0,Gambit Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),Keyd Stars vs ENVY,Keyd Stars,ENVY,0,2,ENVY won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),KRÜ Esports vs ZETA DIVISION,KRÜ Esports,ZETA DIVISION,2,1,KRÜ Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels vs G2 Esports,Sentinels,G2 Esports,2,1,Sentinels won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (C),Gambit Esports vs 100 Thieves,Gambit Esports,100 Thieves,1,2,100 Thieves won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (B),ENVY vs KRÜ Esports,ENVY,KRÜ Esports,2,0,ENVY won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (A),Vision Strikers vs Acend,Vision Strikers,Acend,2,0,Vision Strikers won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q vs Sentinels,F4Q,Sentinels,0,2,Sentinels won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q vs G2 Esports,F4Q,G2 Esports,0,2,G2 Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (B),Keyd Stars vs ZETA DIVISION,Keyd Stars,ZETA DIVISION,2,0,Keyd Stars won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (C),Crazy Raccoon vs Liberty,Crazy Raccoon,Liberty,2,0,Crazy Raccoon won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (A),Paper Rex vs Papara SuperMassive,Paper Rex,Papara SuperMassive,1,2,Papara SuperMassive won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs Sentinels,G2 Esports,Sentinels,2,0,G2 Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (B),KRÜ Esports vs Keyd Stars,KRÜ Esports,Keyd Stars,2,0,KRÜ Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (A),Acend vs Papara SuperMassive,Acend,Papara SuperMassive,2,1,Acend won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels vs F4Q,Sentinels,F4Q,2,1,Sentinels won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (B),DRX vs NORTHEPTION,DRX,NORTHEPTION,2,0,DRX won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (A),LOUD vs KRÜ Esports,LOUD,KRÜ Esports,1,2,KRÜ Esports won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (A),OpTic Gaming vs Guild Esports,OpTic Gaming,Guild Esports,0,2,Guild Esports won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (B),FunPlus Phoenix vs XERXIA Esports,FunPlus Phoenix,XERXIA Esports,2,1,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Winner's (A),Guild Esports vs KRÜ Esports,Guild Esports,KRÜ Esports,2,1,Guild Esports won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Winner's (B),FunPlus Phoenix vs DRX,FunPlus Phoenix,DRX,1,2,DRX won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Elimination (B),XERXIA Esports vs NORTHEPTION,XERXIA Esports,NORTHEPTION,1,2,NORTHEPTION won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Elimination (A),OpTic Gaming vs LOUD,OpTic Gaming,LOUD,2,1,OpTic Gaming won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Decider (B),FunPlus Phoenix vs NORTHEPTION,FunPlus Phoenix,NORTHEPTION,2,0,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Decider (A),KRÜ Esports vs OpTic Gaming,KRÜ Esports,OpTic Gaming,0,2,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),DRX vs ZETA DIVISION,DRX,ZETA DIVISION,2,0,DRX won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,Team Liquid,0,2,Team Liquid won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (B),OpTic Gaming vs XERXIA Esports,OpTic Gaming,XERXIA Esports,0,2,XERXIA Esports won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Opening (A),FNATIC vs Ninjas In Pyjamas,FNATIC,Ninjas In Pyjamas,0,2,Ninjas In Pyjamas won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (B),XERXIA Esports vs Team Liquid,XERXIA Esports,Team Liquid,1,2,Team Liquid won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Winner's (A),Ninjas In Pyjamas vs DRX,Ninjas In Pyjamas,DRX,0,2,DRX won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (B),OpTic Gaming vs KRÜ Esports,OpTic Gaming,KRÜ Esports,2,0,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Elimination (A),FNATIC vs ZETA DIVISION,FNATIC,ZETA DIVISION,0,2,ZETA DIVISION won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (B),XERXIA Esports vs OpTic Gaming,XERXIA Esports,OpTic Gaming,0,2,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Group Stage,Decider (A),Ninjas In Pyjamas vs ZETA DIVISION,Ninjas In Pyjamas,ZETA DIVISION,1,2,ZETA DIVISION won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Round 1,FNATIC vs KRÜ Esports,FNATIC,KRÜ Esports,2,0,FNATIC won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Round 1,Version1 vs Crazy Raccoon,Version1,Crazy Raccoon,2,0,Version1 won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Sharks Esports vs NUTURN,Sharks Esports,NUTURN,1,2,NUTURN won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Team Vikings vs X10 Esports,Team Vikings,X10 Esports,2,0,Team Vikings won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Team Liquid vs Version1,Team Liquid,Version1,1,2,Version1 won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Sentinels vs FNATIC,Sentinels,FNATIC,2,0,Sentinels won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 1,X10 Esports vs Crazy Raccoon,X10 Esports,Crazy Raccoon,2,0,X10 Esports won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 1,Sharks Esports vs KRÜ Esports,Sharks Esports,KRÜ Esports,0,2,KRÜ Esports won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Semifinals,Sentinels vs Team Vikings,Sentinels,Team Vikings,2,0,Sentinels won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Semifinals,Version1 vs NUTURN,Version1,NUTURN,1,2,NUTURN won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 2,FNATIC vs X10 Esports,FNATIC,X10 Esports,2,0,FNATIC won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 2,Team Liquid vs KRÜ Esports,Team Liquid,KRÜ Esports,2,0,Team Liquid won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 3,Version1 vs FNATIC,Version1,FNATIC,0,2,FNATIC won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 3,Team Vikings vs Team Liquid,Team Vikings,Team Liquid,0,2,Team Liquid won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Final,Sentinels vs NUTURN,Sentinels,NUTURN,2,0,Sentinels won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 4,FNATIC vs Team Liquid,FNATIC,Team Liquid,2,0,FNATIC won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Final,NUTURN vs FNATIC,NUTURN,FNATIC,1,2,FNATIC won,
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Grand Final,Sentinels vs FNATIC,Sentinels,FNATIC,3,0,Sentinels won,
Valorant Champions 2021,Playoffs,Quarterfinals,Acend vs Team Secret,Acend,Team Secret,2,0,Acend won,
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid vs Cloud9,Team Liquid,Cloud9,2,0,Team Liquid won,
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports vs X10 Esports,Gambit Esports,X10 Esports,2,1,Gambit Esports won,
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC vs KRÜ Esports,FNATIC,KRÜ Esports,1,2,KRÜ Esports won,
Valorant Champions 2021,Playoffs,Semifinals,Acend vs Team Liquid,Acend,Team Liquid,2,0,Acend won,
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports vs KRÜ Esports,Gambit Esports,KRÜ Esports,2,1,Gambit Esports won,
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Acend,Gambit Esports,3,2,Acend won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,Vision Strikers vs Gambit Esports,Vision Strikers,Gambit Esports,1,2,Gambit Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,G2 Esports vs KRÜ Esports,G2 Esports,KRÜ Esports,2,0,G2 Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,100 Thieves vs Acend,100 Thieves,Acend,2,1,100 Thieves won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,ENVY vs Sentinels,ENVY,Sentinels,2,0,ENVY won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,Gambit Esports vs G2 Esports,Gambit Esports,G2 Esports,2,0,Gambit Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,100 Thieves vs ENVY,100 Thieves,ENVY,0,2,ENVY won,
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Grand Final,ENVY vs Gambit Esports,ENVY,Gambit Esports,0,3,Gambit Esports won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,Paper Rex vs Guild Esports,Paper Rex,Guild Esports,2,0,Paper Rex won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,FNATIC vs FunPlus Phoenix,FNATIC,FunPlus Phoenix,2,0,FNATIC won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,LEVIATÁN vs DRX,LEVIATÁN,DRX,1,2,DRX won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,XSET vs OpTic Gaming,XSET,OpTic Gaming,0,2,OpTic Gaming won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 1,Guild Esports vs FunPlus Phoenix,Guild Esports,FunPlus Phoenix,1,2,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 1,LEVIATÁN vs XSET,LEVIATÁN,XSET,2,1,Leviatán won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Semifinals,Paper Rex vs FNATIC,Paper Rex,FNATIC,2,0,Paper Rex won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Semifinals,DRX vs OpTic Gaming,DRX,OpTic Gaming,1,2,OpTic Gaming won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 2,FNATIC vs LEVIATÁN,FNATIC,LEVIATÁN,2,1,FNATIC won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 2,DRX vs FunPlus Phoenix,DRX,FunPlus Phoenix,0,2,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Final,Paper Rex vs OpTic Gaming,Paper Rex,OpTic Gaming,2,1,Paper Rex won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 3,FunPlus Phoenix vs FNATIC,FunPlus Phoenix,FNATIC,2,1,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Final,OpTic Gaming vs FunPlus Phoenix,OpTic Gaming,FunPlus Phoenix,1,3,FunPlus Phoenix won,
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Grand Final,Paper Rex vs FunPlus Phoenix,Paper Rex,FunPlus Phoenix,2,3,FunPlus Phoenix won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,G2 Esports vs ZETA DIVISION,G2 Esports,ZETA DIVISION,2,0,G2 Esports won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,LOUD vs Team Liquid,LOUD,Team Liquid,2,1,LOUD won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,Paper Rex vs DRX,Paper Rex,DRX,1,2,DRX won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Quarterfinals,The Guard vs OpTic Gaming,The Guard,OpTic Gaming,1,2,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,ZETA DIVISION vs Team Liquid,ZETA DIVISION,Team Liquid,2,1,ZETA DIVISION won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 1,Paper Rex vs The Guard,Paper Rex,The Guard,2,0,Paper Rex won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,DRX vs OpTic Gaming,DRX,OpTic Gaming,1,2,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Semifinals,G2 Esports vs LOUD,G2 Esports,LOUD,0,2,LOUD won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,DRX vs ZETA DIVISION,DRX,ZETA DIVISION,1,2,ZETA DIVISION won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 2,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Upper Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,2,1,LOUD won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Round 3,ZETA DIVISION vs Paper Rex,ZETA DIVISION,Paper Rex,2,1,ZETA DIVISION won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Lower Final,OpTic Gaming vs ZETA DIVISION,OpTic Gaming,ZETA DIVISION,3,0,OpTic Gaming won,
Valorant Champions Tour Stage 1: Masters Reykjavík,Playoffs,Grand Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,0,3,OpTic Gaming won,
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Paper Rex,EDward Gaming,2,1,Paper Rex won,
Valorant Champions 2022,Group Stage,Opening (A),LEVIATÁN vs Team Liquid,LEVIATÁN,Team Liquid,2,0,Leviatán won,
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,ZETA DIVISION,LOUD,0,2,LOUD won,
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,OpTic Gaming,BOOM Esports,2,1,OpTic Gaming won,
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs LEVIATÁN,Paper Rex,LEVIATÁN,0,2,Leviatán won,
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,DRX,FURIA,2,0,DRX won,
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,FNATIC,100 Thieves,1,2,100 Thieves won,
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,OpTic Gaming,LOUD,2,1,OpTic Gaming won,
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XSET,XERXIA Esports,2,0,XSET won,
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,KRÜ Esports,2,0,FunPlus Phoenix won,
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,DRX,100 Thieves,2,0,DRX won,
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,BOOM Esports,ZETA DIVISION,1,2,ZETA DIVISION won,
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,EDward Gaming,Team Liquid,0,2,Team Liquid won,
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,KRÜ Esports,XERXIA Esports,2,1,KRÜ Esports won,
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,FURIA,FNATIC,1,2,FNATIC won,
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,FunPlus Phoenix,XSET,1,2,XSET won,
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Paper Rex,Team Liquid,1,2,Team Liquid won,
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,LOUD,ZETA DIVISION,2,0,LOUD won,
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,100 Thieves,FNATIC,0,2,FNATIC won,
Valorant Champions 2022,Playoffs,Upper Quarterfinals,LEVIATÁN vs LOUD,LEVIATÁN,LOUD,0,2,LOUD won,
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,DRX,FunPlus Phoenix,2,0,DRX won,
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,OpTic Gaming,Team Liquid,2,1,OpTic Gaming won,
Valorant Champions 2022,Playoffs,Upper Quarterfinals,XSET vs FNATIC,XSET,FNATIC,2,0,XSET won,
Valorant Champions 2022,Playoffs,Lower Round 1,FunPlus Phoenix vs LEVIATÁN,FunPlus Phoenix,LEVIATÁN,2,0,FunPlus Phoenix won,
Valorant Champions 2022,Playoffs,Lower Round 1,Team Liquid vs FNATIC,Team Liquid,FNATIC,0,2,FNATIC won,
Valorant Champions 2022,Playoffs,Upper Semifinals,DRX vs LOUD,DRX,LOUD,0,2,LOUD won,
Valorant Champions 2022,Playoffs,Upper Semifinals,OpTic Gaming vs XSET,OpTic Gaming,XSET,2,1,OpTic Gaming won,
Valorant Champions 2022,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,FNATIC,2,1,DRX won,
Valorant Champions 2022,Playoffs,Lower Round 2,XSET vs FunPlus Phoenix,XSET,FunPlus Phoenix,1,2,FunPlus Phoenix won,
Valorant Champions 2022,Playoffs,Upper Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,2,0,LOUD won,
Valorant Champions 2022,Playoffs,Lower Round 3,FunPlus Phoenix vs DRX,FunPlus Phoenix,DRX,0,2,DRX won,
Valorant Champions 2022,Playoffs,Lower Final,OpTic Gaming vs DRX,OpTic Gaming,DRX,3,2,OpTic Gaming won,
Valorant Champions 2022,Playoffs,Grand Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,3,1,LOUD won,
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,0,2,Natus Vincere won,
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,LOUD,2,1,DRX won,
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,T1,2,0,FUT Esports won,
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,FunPlus Phoenix,2,0,Evil Geniuses won,
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,DRX,1,2,DRX won,
Valorant Champions 2023,Group Stage,Opening (C),NRG vs Bilibili Gaming,NRG,Bilibili Gaming,0,2,Bilibili Gaming won,
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ZETA DIVISION,2,0,FNATIC won,
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,FUT Esports,2,0,Evil Geniuses won,
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,KRÜ Esports,2,0,Paper Rex won,
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,EDward Gaming,Giants Gaming,2,1,EDward Gaming won,
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,FNATIC,Bilibili Gaming,2,0,FNATIC won,
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Team Liquid,LOUD,0,2,LOUD won,
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,FunPlus Phoenix,T1,0,2,T1 won,
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Paper Rex,EDward Gaming,2,0,Paper Rex won,
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,KRÜ Esports,Giants Gaming,0,2,Giants Gaming won,
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG,ZETA DIVISION,NRG,0,2,NRG won,
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Natus Vincere,LOUD,1,2,LOUD won,
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,EDward Gaming,Giants Gaming,2,0,EDward Gaming won,
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG,Bilibili Gaming,NRG,2,0,Bilibili Gaming won,
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,FNATIC,LOUD,0,2,LOUD won,
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Paper Rex,FUT Esports,2,0,Paper Rex won,
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,DRX,Bilibili Gaming,2,0,DRX won,
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Evil Geniuses,EDward Gaming,2,1,Evil Geniuses won,
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FNATIC,FUT Esports,2,0,FNATIC won,
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,1,2,EDward Gaming won,
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,LOUD,Paper Rex,1,2,Paper Rex won,
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,DRX,Evil Geniuses,0,2,Evil Geniuses won,
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,LOUD,EDward Gaming,2,1,LOUD won,
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,FNATIC,1,2,FNATIC won,
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Paper Rex,Evil Geniuses,2,1,Paper Rex won,
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,FNATIC,LOUD,1,2,LOUD won,
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,3,2,Evil Geniuses won,
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Paper Rex,Evil Geniuses,1,3,Evil Geniuses won,
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Gen.G,Sentinels,2,0,Gen.G won,
